horizon,gcn,flat,gain
1,0.8935028581982914,0.5959050775833852,0.29759778061490627
3,0.8550713470457074,0.5016919348725993,0.3533794121731081
5,0.8081643369314602,0.4228570050654927,0.3853073318659675
