horizon,model,split,accuracy,macro_f1,weighted_f1,f1_calm,f1_normal,f1_turbulent
5,GCN Attention,Validation,0.804,0.6605757087040509,0.8097129584616216,0.6722689075630253,0.8650137741046832,0.4444444444444444
5,GCN Attention,Test,0.8025134649910234,0.8081643369314602,0.8027692945722508,0.804040404040404,0.7985347985347986,0.821917808219178
