horizon,model,split,accuracy,macro_f1,weighted_f1,f1_calm,f1_normal,f1_turbulent
3,Logistic Regression,Validation,0.9800399201596807,0.9741592737775944,0.9799907097297051,0.0,0.9864864864864865,0.9618320610687023
3,Logistic Regression,Test,0.9266547406082289,0.7358908365197673,0.9139134746857432,0.33962264150943394,0.958958958958959,0.9090909090909091
3,K-Means,Validation,0.720558882235529,0.7096758170800358,0.7362663989547974,0.0,0.7658862876254181,0.6534653465346535
3,K-Means,Test,0.9105545617173524,0.5960453495244747,0.879059347920599,0.0,0.9502982107355865,0.8378378378378378
3,Hierarchical Clustering,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
3,Hierarchical Clustering,Test,0.8729874776386404,0.3107290671760586,0.8137877537491051,0.0,0.9321872015281757,0.0
3,SVM RBF,Validation,0.9421157684630739,0.9263149353119279,0.9424563036602969,0.0,0.9604365620736699,0.8921933085501859
3,SVM RBF,Test,0.9302325581395349,0.7441626471477217,0.9170663837846708,0.34615384615384615,0.960960960960961,0.9253731343283582
3,HMM,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
3,HMM,Test,0.9212880143112702,0.6189542483660131,0.8884597846294153,0.0,0.9568627450980393,0.9
