horizon,model,split,accuracy,macro_f1,weighted_f1,f1_calm,f1_normal,f1_turbulent
1,Logistic Regression,Validation,0.9920159680638723,0.9897142153239714,0.9920159680638723,0.0,0.994579945799458,0.9848484848484849
1,Logistic Regression,Test,0.946524064171123,0.8004516510492606,0.9356453249117886,0.46153846153846156,0.9701195219123506,0.9696969696969697
1,K-Means,Validation,0.720558882235529,0.7096758170800358,0.7362663989547974,0.0,0.7658862876254181,0.6534653465346535
1,K-Means,Test,0.9180035650623886,0.6154491124788154,0.8861240655067096,0.0,0.9544554455445544,0.8918918918918919
1,Hierarchical Clustering,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
1,Hierarchical Clustering,Test,0.8734402852049911,0.3108150967332699,0.8144352802101725,0.0,0.9324452901998097,0.0
1,SVM RBF,Validation,0.9660678642714571,0.9570067793701192,0.9663436364206281,0.0,0.9767441860465116,0.9372693726937269
1,SVM RBF,Test,0.946524064171123,0.7932919653794405,0.9342382779969026,0.44,0.9701789264413518,0.9696969696969697
1,HMM,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
1,HMM,Test,0.9215686274509803,0.6190104166666667,0.8888508244206773,0.0,0.95703125,0.9
