ticker,missing_count,missing_pct,non_null_count
AAPL,0,0.0,2322
ABBV,0,0.0,2322
ADBE,0,0.0,2322
ADP,0,0.0,2322
AMD,0,0.0,2322
AMGN,0,0.0,2322
AMZN,0,0.0,2322
APD,0,0.0,2322
AVGO,0,0.0,2322
AXP,0,0.0,2322
BA,0,0.0,2322
BAC,0,0.0,2322
BKNG,0,0.0,2322
BLK,0,0.0,2322
BMY,0,0.0,2322
C,0,0.0,2322
CAT,0,0.0,2322
CL,0,0.0,2322
CMCSA,0,0.0,2322
CME,0,0.0,2322
COP,0,0.0,2322
COST,0,0.0,2322
CRM,0,0.0,2322
CSCO,0,0.0,2322
CVX,0,0.0,2322
D,0,0.0,2322
DE,0,0.0,2322
DHR,0,0.0,2322
DIS,0,0.0,2322
DUK,0,0.0,2322
EMR,0,0.0,2322
EOG,0,0.0,2322
EXC,0,0.0,2322
F,0,0.0,2322
FCX,0,0.0,2322
FDX,0,0.0,2322
GE,0,0.0,2322
GILD,0,0.0,2322
GIS,0,0.0,2322
GM,0,0.0,2322
GOOGL,0,0.0,2322
GS,0,0.0,2322
HD,0,0.0,2322
HON,0,0.0,2322
HSY,0,0.0,2322
ICE,0,0.0,2322
INTC,0,0.0,2322
JNJ,0,0.0,2322
JPM,0,0.0,2322
KMB,0,0.0,2322
KO,0,0.0,2322
LIN,0,0.0,2322
LLY,0,0.0,2322
LMT,0,0.0,2322
LOW,0,0.0,2322
MA,0,0.0,2322
MCD,0,0.0,2322
MDLZ,0,0.0,2322
MDT,0,0.0,2322
META,0,0.0,2322
MPC,0,0.0,2322
MRK,0,0.0,2322
MS,0,0.0,2322
MSFT,0,0.0,2322
NEE,0,0.0,2322
NEM,0,0.0,2322
NFLX,0,0.0,2322
NKE,0,0.0,2322
NOC,0,0.0,2322
NVDA,0,0.0,2322
ORCL,0,0.0,2322
PEP,0,0.0,2322
PFE,0,0.0,2322
PG,0,0.0,2322
PSX,0,0.0,2322
PYPL,0,0.0,2322
QCOM,0,0.0,2322
RTX,0,0.0,2322
SBUX,0,0.0,2322
SCHW,0,0.0,2322
SHW,0,0.0,2322
SLB,0,0.0,2322
SO,0,0.0,2322
SPGI,0,0.0,2322
SQ,0,0.0,2322
T,0,0.0,2322
TGT,0,0.0,2322
TJX,0,0.0,2322
TMO,0,0.0,2322
TMUS,0,0.0,2322
TXN,0,0.0,2322
UNH,0,0.0,2322
UNP,0,0.0,2322
UPS,0,0.0,2322
V,0,0.0,2322
VLO,0,0.0,2322
VZ,0,0.0,2322
WFC,0,0.0,2322
WMT,0,0.0,2322
XOM,0,0.0,2322
