split,label,count,percent
train,0,489,33.04054054054054
train,1,488,32.972972972972975
train,2,503,33.98648648648649
val,0,58,23.200000000000003
val,1,183,73.2
val,2,9,3.5999999999999996
test,0,289,51.42348754448398
test,1,239,42.52669039145908
test,2,34,6.049822064056939
