,market_volatility,avg_correlation,cross_sectional_dispersion,regime_score,label
2017-02-15,0.0036108143698598,0.1002495924467189,0.012093283971435,-0.9616774517900804,0
2017-02-16,0.0034821730676981,0.094528418283213,0.011992008861702,-0.9866713395922568,0
2017-02-17,0.0034728073812087,0.0933581271750174,0.0120351249612668,-0.9875169868874616,0
2017-02-21,0.0035785325031163,0.0979316190171313,0.012106722654321,-0.9678108708552814,0
2017-02-22,0.0035207004424652,0.0952966084117328,0.0120770075218064,-0.9783921923210794,0
2017-02-23,0.0035141957136,0.0934703671768202,0.012356197410167,-0.9686985989483464,0
2017-02-24,0.0035143010340624,0.0949242499212349,0.0122614565378618,-0.970439608466699,0
2017-02-27,0.0034331219346339,0.0905040824449779,0.0124340522805219,-0.9761496843924212,0
2017-02-28,0.0035794904813332,0.0932356221415484,0.0127525622571768,-0.945292247589844,0
2017-03-01,0.0041329787721928,0.1219005465889478,0.0127895127817747,-0.8492969881767173,0
2017-03-02,0.0044068429739344,0.1318636727195003,0.0128734752209773,-0.8070798182025218,0
2017-03-03,0.0043503121957982,0.1286469991810523,0.0128944239993846,-0.8162454538554457,0
2017-03-06,0.0044159028393423,0.1340127038819047,0.0126255793188627,-0.8144057222595136,0
2017-03-07,0.0043952271174403,0.1373563316941798,0.0123212271926173,-0.8240561733964176,0
2017-03-08,0.0042641239548242,0.1387295975508475,0.0121388845189069,-0.838881936357529,0
2017-03-09,0.0041199722284437,0.134598346270154,0.0119777126943245,-0.8646403920232968,0
2017-03-10,0.0041192610680927,0.1408058228632351,0.0117400400297423,-0.8638971571208811,0
2017-03-13,0.0041024940756576,0.1471758942640432,0.0115239489473746,-0.8628086701440456,0
2017-03-14,0.0040466442900599,0.1453377471214326,0.011433812779952,-0.8746384329178245,0
2017-03-15,0.0042867668080656,0.1702997304492808,0.0112294246346977,-0.8185776550182489,0
2017-03-16,0.0042972102914041,0.1742318265135964,0.0108453608224284,-0.8289448055623531,0
2017-03-17,0.0043128827512689,0.1723185151200305,0.0108472227163766,-0.8316940613691128,0
2017-03-20,0.0042142026490992,0.1769057121722808,0.0107116269740304,-0.835589053000288,0
2017-03-21,0.004876724615216,0.2137113866223288,0.010704509705785,-0.7181824927690462,0
2017-03-22,0.004878684528102,0.2146721745366495,0.0106744026863864,-0.7176015363656436,0
2017-03-23,0.0049030153977408,0.2214066417462521,0.0104466568101155,-0.713662931222848,0
2017-03-24,0.0048777024235324,0.2219283649234227,0.0103223950925688,-0.720412128278159,0
2017-03-27,0.0048442841859412,0.2213898652419967,0.0103515082771471,-0.7222478587660028,0
2017-03-28,0.0049048437235447,0.2243026631767996,0.010303634583505,-0.7147646006838069,0
2017-03-29,0.0048522195201558,0.2215351658527688,0.0102216325811944,-0.7278592779918999,0
2017-03-30,0.0048242896440424,0.2183873806215959,0.0103143536186157,-0.7314632259780756,0
2017-03-31,0.0048179431497583,0.2232136078902371,0.0101746097891601,-0.7290364503998779,0
2017-04-03,0.0048391000676317,0.2303567147405731,0.0099995440251901,-0.7218737394135124,0
2017-04-04,0.0046791242603499,0.2187433397947882,0.0099250002757332,-0.7595057853733974,0
2017-04-05,0.0047031099160274,0.2201221196067685,0.0098632103907438,-0.758205496578577,0
2017-04-06,0.0047051163401408,0.2266066652501922,0.009515031069358,-0.7621907608326427,0
2017-04-07,0.0046837742593953,0.2247126108870512,0.0094131462426092,-0.772455941035191,0
2017-04-10,0.0046768627796848,0.2312197109168468,0.0091914447363323,-0.7707229118549321,0
2017-04-11,0.0046213066527861,0.2343253730434318,0.0088357064562569,-0.7856793934183826,0
2017-04-12,0.0038758546079948,0.1840198537128923,0.0086821907173095,-0.9437463819569796,0
2017-04-13,0.003921996970566,0.1981526298309614,0.0084989518788537,-0.921224858666267,0
2017-04-17,0.0042963865166999,0.2323258595110881,0.0084734792340935,-0.8289071403140598,0
2017-04-18,0.0042892816986081,0.2267405229051096,0.0085402687804264,-0.8373575241425222,0
2017-04-19,0.004279881066547,0.2250186672557805,0.0085700146931354,-0.839981670388975,0
2017-04-20,0.0045569872713349,0.237484748137932,0.0086088162696046,-0.7947272306094589,0
2017-04-21,0.004571167858677,0.2351395801379358,0.0086590455725634,-0.7960544395561207,0
2017-04-24,0.0049613726932705,0.2637618703232774,0.0087311020847362,-0.7090967258275285,0
2017-04-25,0.005161042445959,0.2691915339788277,0.0089852545877948,-0.672480436549259,0
2017-04-26,0.0051085422499403,0.2581323271129064,0.0091037561978391,-0.6924081024795004,0
2017-04-27,0.0048279090457431,0.2217934160595319,0.0091960979887149,-0.77965838622942,0
2017-04-28,0.0048386196353821,0.2183200639528089,0.0091824901659915,-0.7866508474442615,0
2017-05-01,0.0048358624126816,0.2230626614366371,0.009123448378437,-0.780166101408674,0
2017-05-02,0.0048319088045172,0.2148341169929965,0.0096488636761818,-0.771066016851143,0
2017-05-03,0.0042362360170039,0.1817671538989044,0.0096089515767065,-0.878866504040402,0
2017-05-04,0.0042320627257285,0.1779015065810596,0.0097345797711042,-0.8807385788814744,0
2017-05-05,0.004260793407043,0.1778768071013463,0.0097766443699164,-0.8768270976142278,0
2017-05-08,0.0042633141720753,0.1780907643728591,0.009820749803633,-0.874047892698737,0
2017-05-09,0.0042460122154796,0.1777191956934753,0.0097520988673759,-0.879327373558835,0
2017-05-10,0.0041389796616263,0.1644030204220192,0.010174523861045,-0.8923522719776286,0
