feature,split,min,max,mean,std,median
market_volatility,train,0.0022454971086477,0.0557258490751631,0.00949502484445145,0.008123356615626286,0.0071512671830553
market_volatility,val,0.0054652996155445,0.0183278430943543,0.010593464575456069,0.0036265625955685197,0.0096503740212765
market_volatility,test,0.0033154621640783,0.0232404446610335,0.007331396778916109,0.0038494334546982636,0.00627329377813155
avg_correlation,train,0.0392104903036605,0.804729288976408,0.282462824129432,0.14828100397541458,0.2429515303723445
avg_correlation,val,0.13574976523129,0.6049582339463128,0.319550473233896,0.11521883928529407,0.2785983526320709
avg_correlation,test,0.0631766337317466,0.5624653629332445,0.1855009710083365,0.10010902398456435,0.162971545319228
cross_sectional_dispersion,train,0.0084734792340935,0.035843974446782,0.01413913144780967,0.004108881752828774,0.0128846681315928
cross_sectional_dispersion,val,0.0113436317764503,0.0212028836380122,0.01585753148917267,0.002360408328196109,0.0152613452054401
cross_sectional_dispersion,test,0.0122448566897491,0.0212662717907744,0.015751264202559716,0.0020235895897759712,0.01537275320606685
