,regime_score,label
2017-02-15,-0.8304107142902857,0
2017-02-16,-0.8548332490154993,0
2017-02-17,-0.8556787579281203,0
2017-02-21,-0.8364332535351772,0
2017-02-22,-0.8467703623278924,0
2017-02-23,-0.8372760116211638,0
2017-02-24,-0.8389395594483094,0
2017-02-27,-0.8444779347262479,0
2017-02-28,-0.8144389674840697,0
2017-03-01,-0.7205782768609885,0
