Date,0
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-13,
2017-02-14,
2017-02-15,0.0036108143698598797
2017-02-16,0.0034821730676981473
2017-02-17,0.0034728073812087066
2017-02-21,0.003578532503116399
2017-02-22,0.003520700442465249
2017-02-23,0.003514195713600033
2017-02-24,0.003514301034062461
2017-02-27,0.0034331219346339084
2017-02-28,0.003579490481333237
2017-03-01,0.004132978772192823
2017-03-02,0.004406842973934464
2017-03-03,0.004350312195798228
2017-03-06,0.004415902839342315
2017-03-07,0.004395227117440301
2017-03-08,0.004264123954824213
2017-03-09,0.004119972228443738
2017-03-10,0.004119261068092714
2017-03-13,0.004102494075657613
2017-03-14,0.004046644290059943
2017-03-15,0.0042867668080656925
2017-03-16,0.004297210291404171
2017-03-17,0.004312882751268997
2017-03-20,0.004214202649099299
2017-03-21,0.004876724615216056
2017-03-22,0.0048786845281020026
2017-03-23,0.004903015397740837
2017-03-24,0.004877702423532428
2017-03-27,0.004844284185941274
2017-03-28,0.004904843723544776
2017-03-29,0.004852219520155842
2017-03-30,0.004824289644042452
2017-03-31,0.004817943149758389
2017-04-03,0.004839100067631791
2017-04-04,0.004679124260349908
2017-04-05,0.004703109916027474
2017-04-06,0.0047051163401408665
2017-04-07,0.0046837742593953706
2017-04-10,0.004676862779684898
2017-04-11,0.004621306652786156
2017-04-12,0.003875854607994892
2017-04-13,0.003921996970566037
2017-04-17,0.004296386516699935
2017-04-18,0.004289281698608195
2017-04-19,0.004279881066547083
2017-04-20,0.004556987271334988
2017-04-21,0.004571167858677021
2017-04-24,0.004961372693270584
2017-04-25,0.005161042445959031
2017-04-26,0.005108542249940352
2017-04-27,0.004827909045743102
2017-04-28,0.004838619635382108
2017-05-01,0.004835862412681693
2017-05-02,0.004831908804517282
2017-05-03,0.00423623601700395
2017-05-04,0.0042320627257285285
2017-05-05,0.004260793407043022
2017-05-08,0.004263314172075345
2017-05-09,0.004246012215479683
2017-05-10,0.0041389796616263545
2017-05-11,0.004157713885285463
2017-05-12,0.004104215769571103
2017-05-15,0.004212477709770713
2017-05-16,0.0041717565245273265
2017-05-17,0.005287096504191202
2017-05-18,0.0052841214077638705
2017-05-19,0.005468070464725794
2017-05-22,0.005511405866631501
2017-05-23,0.005514929231071782
2017-05-24,0.005523375698230772
2017-05-25,0.005439407037488504
