Date,volatility,threshold_33,threshold_66
2017-01-04,,0.013183549531314525,0.015623672846175888
2017-01-05,,0.013183549531314525,0.015623672846175888
2017-01-06,,0.013183549531314525,0.015623672846175888
2017-01-09,,0.013183549531314525,0.015623672846175888
2017-01-10,,0.013183549531314525,0.015623672846175888
2017-01-11,,0.013183549531314525,0.015623672846175888
2017-01-12,,0.013183549531314525,0.015623672846175888
2017-01-13,,0.013183549531314525,0.015623672846175888
2017-01-17,,0.013183549531314525,0.015623672846175888
2017-01-18,,0.013183549531314525,0.015623672846175888
2017-01-19,,0.013183549531314525,0.015623672846175888
2017-01-20,,0.013183549531314525,0.015623672846175888
2017-01-23,,0.013183549531314525,0.015623672846175888
2017-01-24,,0.013183549531314525,0.015623672846175888
2017-01-25,,0.013183549531314525,0.015623672846175888
2017-01-26,,0.013183549531314525,0.015623672846175888
2017-01-27,,0.013183549531314525,0.015623672846175888
2017-01-30,,0.013183549531314525,0.015623672846175888
2017-01-31,,0.013183549531314525,0.015623672846175888
2017-02-01,,0.013183549531314525,0.015623672846175888
2017-02-02,,0.013183549531314525,0.015623672846175888
2017-02-03,,0.013183549531314525,0.015623672846175888
2017-02-06,,0.013183549531314525,0.015623672846175888
2017-02-07,,0.013183549531314525,0.015623672846175888
2017-02-08,,0.013183549531314525,0.015623672846175888
2017-02-09,,0.013183549531314525,0.015623672846175888
2017-02-10,,0.013183549531314525,0.015623672846175888
2017-02-13,,0.013183549531314525,0.015623672846175888
2017-02-14,,0.013183549531314525,0.015623672846175888
2017-02-15,0.012093283971435066,0.013183549531314525,0.015623672846175888
2017-02-16,0.011992008861702059,0.013183549531314525,0.015623672846175888
2017-02-17,0.01203512496126682,0.013183549531314525,0.015623672846175888
2017-02-21,0.012106722654321044,0.013183549531314525,0.015623672846175888
2017-02-22,0.012077007521806403,0.013183549531314525,0.015623672846175888
2017-02-23,0.012356197410167087,0.013183549531314525,0.015623672846175888
2017-02-24,0.012261456537861893,0.013183549531314525,0.015623672846175888
2017-02-27,0.012434052280521983,0.013183549531314525,0.015623672846175888
2017-02-28,0.012752562257176832,0.013183549531314525,0.015623672846175888
2017-03-01,0.012789512781774783,0.013183549531314525,0.015623672846175888
2017-03-02,0.01287347522097737,0.013183549531314525,0.015623672846175888
2017-03-03,0.012894423999384676,0.013183549531314525,0.015623672846175888
2017-03-06,0.01262557931886275,0.013183549531314525,0.015623672846175888
2017-03-07,0.012321227192617305,0.013183549531314525,0.015623672846175888
2017-03-08,0.012138884518906953,0.013183549531314525,0.015623672846175888
2017-03-09,0.011977712694324537,0.013183549531314525,0.015623672846175888
2017-03-10,0.011740040029742327,0.013183549531314525,0.015623672846175888
2017-03-13,0.011523948947374655,0.013183549531314525,0.015623672846175888
2017-03-14,0.011433812779952023,0.013183549531314525,0.015623672846175888
2017-03-15,0.01122942463469777,0.013183549531314525,0.015623672846175888
2017-03-16,0.010845360822428473,0.013183549531314525,0.015623672846175888
2017-03-17,0.010847222716376666,0.013183549531314525,0.015623672846175888
2017-03-20,0.010711626974030466,0.013183549531314525,0.015623672846175888
2017-03-21,0.010704509705785086,0.013183549531314525,0.015623672846175888
2017-03-22,0.01067440268638646,0.013183549531314525,0.015623672846175888
2017-03-23,0.010446656810115551,0.013183549531314525,0.015623672846175888
2017-03-24,0.010322395092568876,0.013183549531314525,0.015623672846175888
2017-03-27,0.01035150827714717,0.013183549531314525,0.015623672846175888
