,AAPL,ABBV,ADBE,ADP,AMD,AMGN,AMZN,APD,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CL,CMCSA,CME,COP,COST,CRM,CSCO,CVX,D,DE,DHR,DIS,DUK,EMR,EOG,EXC,F,FCX,FDX,GE,GILD,GIS,GM,GOOGL,GS,HD,HON,HSY,ICE,INTC,JNJ,JPM,KMB,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,META,MPC,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NOC,NVDA,ORCL,PEP,PFE,PG,PSX,PYPL,QCOM,RTX,SBUX,SCHW,SHW,SLB,SO,SPGI,SQ,T,TGT,TJX,TMO,TMUS,TXN,UNH,UNP,UPS,V,VLO,VZ,WFC,WMT,XOM
count,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0
mean,0.001129944837316562,0.0008303610253231859,0.0006061590145576492,0.0005029514671352407,0.0018388319098325647,0.0006038871385640204,0.0009388754905308393,0.0005404137492194232,0.0016310294451169784,0.0008526802079470058,0.0004746194107197786,0.0005992286076692166,0.0006629055702334586,0.0006357842987112014,0.0002629444499111545,0.0005956551814598084,0.0011240986038940448,0.0002885543367503898,0.00018971082177333544,0.0006764301204752606,0.0008275542742396805,0.0009581101762656657,0.0006686413377806591,0.0006519669380441173,0.0005973473741305655,0.00019785115246232318,0.0009656827600281154,0.0005701154428115477,0.00015016427409676863,0.000474187126681152,0.0006016761120099827,0.0006088114494088224,0.0005435991230847455,0.00044167709894258776,0.0010958003752898544,0.0005473051956436903,0.0005671617803701041,0.0005366354272161211,2.245108906700994e-05,0.000666658089066202,0.0010007366776983227,0.0007830524388205816,0.0006024309464032593,0.0005200171782904295,0.000508377240704294,0.000593745038337251,0.0005075330096275014,0.0004981514559437508,0.0007678330938980498,0.00015480895063890094,0.00045142629430695906,0.0007986021384100776,0.0013111511817619885,0.000590759695297132,0.00076207886559658,0.000837715109588411,0.0005877719362692844,0.00028885342950192057,0.00029586208558729087,0.0009733481361201465,0.0011104640557060262,0.000536825733828918,0.0008744757650976611,0.0009479607463360476,0.000720212720695099,0.0008115381122955096,0.0012078687010695871,0.0002572490495050062,0.0006491219270280829,0.002296826498426955,0.000843780034441994,0.0003748874912331915,0.00024203050756305418,0.0004143020041028485,0.0007363434189707271,0.0003623065251033153,0.000683982537185029,0.0006769384365853558,0.00045789116643527055,0.0006375968122426831,0.0007106464030022759,0.000244344980001642,0.0005572689450556341,0.0007559414359404645,0.001284449359545351,0.00034641984430934563,0.0005606283060814717,0.0008075405068696474,0.0006690856865132196,0.0007110461148734054,0.0006990345952842022,0.00046379221192974945,0.0005817680956962299,0.00022446630618296441,0.0007211058560793193,0.0010358183356593967,0.00026179112719538345,0.00046047898762642964,0.0008887800922386561,0.0006133177054942523
std,0.01858446304822099,0.016327853330447093,0.021897035378170882,0.01555175668833727,0.03512346885691455,0.015672216787147964,0.020877323622951784,0.016663347703728702,0.025077333393587253,0.02043219718297762,0.026883263229914776,0.019514157035367463,0.020643931538334843,0.01770631440222218,0.015540158872066497,0.021204785734769898,0.019486695397192905,0.01254698383974263,0.016737934660798655,0.015196603465652663,0.023905176649614092,0.014042753594716633,0.02227820465761043,0.016232696617607074,0.018747617037988915,0.015083474283278466,0.0191737352757637,0.0163304054358249,0.018583945624631767,0.012993346394156424,0.01842875270724033,0.02499763745260542,0.015178337283706229,0.02366757278823868,0.03030615833200566,0.0210550537605894,0.0233797379995691,0.016151053765774036,0.014065509376224129,0.02365235995360084,0.018595845524903364,0.0189441925980622,0.015865352527873328,0.014972811742724792,0.01431891459529271,0.014139662896254138,0.027126120627631173,0.01183540531278653,0.017539888764141632,0.013377134601446015,0.011604269907439601,0.014643437340937433,0.019102823164118356,0.01510829756428852,0.018643764598973267,0.017270683096931055,0.013062999846092493,0.013052721969729793,0.014697048636110913,0.024889785750807046,0.02546611279775017,0.014350403313197022,0.019996670821071632,0.01723331946312658,0.016216493968625904,0.021774508496856994,0.026228177250887188,0.02049100633441692,0.016277796298778815,0.031405266462618535,0.021908461517674453,0.012592449164154603,0.015300328021793758,0.012113472281507066,0.02274002427108518,0.02493084061138805,0.02410216876083583,0.017831097541611066,0.018958174824309424,0.021185286642905362,0.016756052254476374,0.026163915862711343,0.014079096462768928,0.01660338468129489,0.03658790140883895,0.015160707327162955,0.02137294047170664,0.01670828451682124,0.016646417201646512,0.016377800821215732,0.01940687150744707,0.01929599870041132,0.016046917158142986,0.017679769465502287,0.015603453391225361,0.025853024033081283,0.012960275076737105,0.020688566870448965,0.013813814002182125,0.018057488938714446
min,-0.1286468505755378,-0.1625235650378856,-0.1679317021312774,-0.1525256306215691,-0.2422907649385345,-0.0826073718188548,-0.140494377749234,-0.1555175988160974,-0.1991290211110553,-0.1481868307241235,-0.2384841190698378,-0.1539735283961084,-0.13519721248208,-0.1365458029559869,-0.1326413509313493,-0.1929858613717497,-0.1428217943505272,-0.0978291175156851,-0.1100107065766839,-0.1838910671521691,-0.2484002794260753,-0.1245131489601802,-0.197371212501502,-0.1373036605475092,-0.2212478626125498,-0.1231318922828195,-0.140721922316476,-0.0972805683295615,-0.131631557023079,-0.1150205767008466,-0.1895718654755318,-0.3200722504064039,-0.1608914654895855,-0.1836138159975816,-0.1805556464177738,-0.2140380699356271,-0.1515921272297694,-0.1015007869550271,-0.1141090277863032,-0.1732282980819611,-0.1163414625648114,-0.1270532670465822,-0.1979385834704972,-0.1208684316186941,-0.1652768062883968,-0.1228536584664325,-0.2605851455985698,-0.1003785773615487,-0.1496487307512864,-0.1456854696621687,-0.0967245647035102,-0.1028328471705022,-0.1413642846502151,-0.1276162140011918,-0.2476941070580831,-0.1272548337595908,-0.1587534300879242,-0.1142967688414998,-0.1282368220699539,-0.2639009081618777,-0.2700892060705687,-0.0986302891340458,-0.1559998855654998,-0.1473901546928974,-0.1341705242780818,-0.1470383132262979,-0.3511660755113309,-0.1998088294828918,-0.1265693655914807,-0.1875587322081483,-0.1379086137696301,-0.1142833536589039,-0.0773465859038167,-0.0873735127652699,-0.1586582212538368,-0.245904370163977,-0.1494526392774733,-0.1447650517661132,-0.1620423104078029,-0.1276903067407129,-0.1867702843409306,-0.2742137236888637,-0.1176578446410736,-0.1518932905882465,-0.2856153690367952,-0.1040611054062734,-0.2493031819673736,-0.2039946958090932,-0.0828754635357449,-0.1121749136802775,-0.1333984298266846,-0.2237966347575667,-0.1303444344112547,-0.1411273125956227,-0.1354715797920996,-0.1922086569864506,-0.0749780414844375,-0.1586761819767101,-0.1137574949898551,-0.1222477008650932
25%,-0.0073946878082642,-0.0067475325305789,-0.0083551162223514,-0.006154994646571,-0.0167750557964577,-0.0070608670127979,-0.0091901268055588,-0.0070991558771291,-0.0104943653659473,-0.0074119586356263,-0.0107869729976395,-0.0084804257677053,-0.0090170530479061,-0.0077897386626515,-0.0074786960336699,-0.0092123151345823,-0.00871688024692,-0.0059228802771515,-0.0080644948228367,-0.0063383135199821,-0.0108814542116955,-0.005662816875781,-0.0093813803356612,-0.0063849062627504,-0.0074855801568028,-0.0064350115299729,-0.0083138385704907,-0.0076782153550121,-0.0080442248201348,-0.0057122929114564,-0.0076636833386746,-0.0108255056355607,-0.0062799493856567,-0.0110551244455039,-0.0147843603381639,-0.0089207967223965,-0.0106094357962881,-0.0081935777044723,-0.006865515251922,-0.0112336568389671,-0.0079803544315723,-0.0084098195554622,-0.0070130818566394,-0.0060395792643587,-0.0063337539920611,-0.0063133128899227,-0.0113541475969667,-0.004831530231132,-0.0072437381982587,-0.0061294780404427,-0.0048927823653301,-0.0063907712380013,-0.0074373535232862,-0.0057433723361027,-0.0080807115326266,-0.006622076122954,-0.0052431431125151,-0.0060788544294676,-0.0063953723043111,-0.00991353151525,-0.0108577533504558,-0.0064876850584161,-0.0085665173077181,-0.007042719670419,-0.0069186955324911,-0.0096533000215729,-0.011199862670385,-0.0092084127204106,-0.0067043525353517,-0.0142530374018985,-0.007492421283891,-0.0055226355290116,-0.0074606866869737,-0.0052195363165642,-0.0093513026126572,-0.0118149376166049,-0.0104762695564061,-0.0065173716464604,-0.0080621614131403,-0.009525906860078,-0.0076706066314869,-0.0120603304112565,-0.0058630841163768,-0.0066045952270471,-0.0171911467900411,-0.0068028915271668,-0.0088853086578614,-0.0071173427463363,-0.0080029613242005,-0.0070306616940614,-0.0093385673338823,-0.0072803015008642,-0.0075224839472977,-0.0082223428412766,-0.0061711892278483,-0.0109404802729256,-0.0059066862520588,-0.0091085514726415,-0.0055719175784693,-0.0085960379008678
50%,0.0010967242265511,0.0012121408512493,0.0013403776103997,0.0011304885952216,0.0005838610095998,0.0003659102479376,0.001162859184538,0.0006236984476275,0.0013251991719465,0.0007934058131744,0.0002704541993516,0.0004625466166461,0.0010641135564637,0.0009111710559561,0.0004735909782525,0.0005236687230163,0.0008783494099526,0.0004186689040874,0.0004480362841003,0.0009779881258764,0.0002959950201324,0.001293669154819,0.0011203153293453,0.0007988530186526,0.0008854561695061,0.0005130799815158,0.0009381139223298,0.0007713445349708,-8.874672964875874e-05,0.0008982582928944,0.0008864740770639,0.0004102172083149,0.0010952854686012,0.0,0.0003197515269004,0.0007925540299311,0.0001074425645914,0.0004711800238357,0.0003781722979616,0.0008455396362561,0.0013592806507782,0.0006416662610775,0.0007270939992432,0.0008853803805275,0.0006919386004344,0.001057348692214,0.0003235304035058,0.0005032820283621,0.0006964436529521,0.0003316375122273,0.0006813904947102,0.0007777604210892,0.0013459223548526,0.0008569371922166,0.0010523072836829,0.001371695985092,0.000633516206923,0.0004518809278291,0.000626528890903,0.0009655963654033,0.0017660795488845,0.0004290292627953,0.0009718602440802,0.0011112563971908,0.0012205069672519,0.0006779957119629,0.0007598956743841,0.0001585171041682,0.0009329582801196,0.0026964060193925,0.0012627491619825,0.0004869748481521,0.0,0.0006765555779648,0.0008726533883638,0.0013862396598709,0.000765922883311,0.0007196577268218,0.0005064641160166,0.0006242319411058,0.0004716499263985,0.0,0.0007715491566158,0.0014053191340259,0.0016730130851949,0.0006753463064641,0.0006288212967022,0.0006263734960787,0.0009789725680409,0.0007790351982941,0.0007273385303969,0.0008522332430707,0.0008047978052403,0.0002947977040632,0.0014471091876455,0.0009064252968578,0.000248061864472,0.0003528015205898,0.0008941394610118,0.0004918365796215
75%,0.0101567157188355,0.0089277890433838,0.0114837011176256,0.0080486226071858,0.0199999809265136,0.008204135254662,0.0117386161812624,0.0082459901249856,0.0135731062014519,0.0098295656297144,0.0118831866038282,0.010122393655904,0.0106976112365111,0.0091440150190778,0.0081081548702997,0.0102347584566104,0.0114906307022253,0.0068790647599983,0.0092319050445643,0.0079116892544595,0.012814453806095,0.0079866673088451,0.0114566075025204,0.008225796002298,0.0088905340427687,0.0078067247925357,0.0105837217316495,0.0085842207809538,0.0083650376121848,0.0069349967844232,0.0096106687038901,0.0118526119760422,0.0076639538391118,0.0117059231265652,0.0171341560162108,0.0105820698926044,0.0113060526981598,0.0085980836934798,0.0077286346865481,0.0113555279963855,0.0103760095688538,0.010545912867357,0.0085687621732606,0.0076976091858256,0.0076277780779971,0.0078640847209039,0.0122166467020226,0.006142324115357,0.0090312958100733,0.0070962095714448,0.0060227041740916,0.0080643242444098,0.0095886277270742,0.0073220817336858,0.0098150338120446,0.0087484852285302,0.0065643662206025,0.0071275683617979,0.0076087437970329,0.0127555274508774,0.0130590889432493,0.0078062593515231,0.0108794982139464,0.0098472700063494,0.0084210934435162,0.011865879504227,0.0137430514678018,0.0101927950694307,0.0082212389008031,0.0190039790237783,0.009273676592943,0.0063547240892161,0.0075599208530441,0.0065259992777679,0.0112744863988718,0.0128498399365826,0.0123301531462951,0.0079000346068403,0.0086514535528274,0.0107604195946431,0.0089360329437739,0.0121076503181414,0.0076803685435558,0.008494789312943,0.0195522023670708,0.007620045852315,0.0103253968402876,0.0086399952858702,0.009175507658417,0.0087180103262569,0.0113016696920695,0.0088446719908947,0.0084627726236659,0.0087441489857904,0.0081761868353686,0.012734959927275,0.0065223366134707,0.0100645883628229,0.0072961545811713,0.0096751796708123
max,0.1532884850891707,0.1376730075856169,0.1771929824561404,0.1180356617432374,0.238204800811929,0.1181794626173722,0.1353590173571186,0.1372333943558039,0.2443262472990539,0.2188226283049799,0.2431860537918921,0.1779620467305336,0.1875206824562447,0.135238962636349,0.1144246841466714,0.1798431854950526,0.1163460306936146,0.1260826267348984,0.1256437469983353,0.1184030437290029,0.2521388106275513,0.0995946854835045,0.2604489701325647,0.1337348756501855,0.227406880706245,0.17232346894715,0.1336031683564991,0.0987748084873978,0.1441231886908456,0.1230086185702152,0.1633406979782861,0.1657026713996814,0.1799410898508049,0.2344138074593966,0.2968457133153745,0.1552772086074005,0.1472997429829938,0.1292021688139157,0.1178339958434719,0.1994318125524097,0.1022436317840276,0.175803060749291,0.1375086475568696,0.1506835202107457,0.1084716506920711,0.1018696452126468,0.2277108499260538,0.0799770680010696,0.1801249778964475,0.0970484963374553,0.06479582076036,0.1169472552813446,0.1567973613086968,0.107279169817809,0.1401178702101808,0.1661090533819611,0.1812540563831992,0.112807147224583,0.1018919509834959,0.232823966325514,0.2062860786068407,0.0837434867014277,0.1977002452709948,0.1421684283604494,0.1369041462456008,0.1401823238626784,0.1685433773676694,0.1553142159208373,0.1300116100524151,0.2436964829782628,0.3594882363348242,0.1293656387393402,0.1085518336252127,0.1200902140253283,0.2217225497253987,0.1410977377185747,0.232074336865611,0.1575713735754074,0.2449696040320235,0.1913470843309554,0.1444920435424272,0.1990804889799504,0.1877363263251499,0.1385579353476589,0.2613959615691832,0.1002235960536457,0.2042559670310557,0.129032189078692,0.1047005771933489,0.1178280337061881,0.1608794354805671,0.127989349059616,0.1300420723857658,0.1437581989447898,0.1384264555326222,0.3120246123887729,0.1183119548353657,0.1453462883646055,0.1170847721592833,0.1268678751048195
