,market_volatility,cross_sectional_dispersion,avg_correlation,market_volatility_z,avg_correlation_z,cross_sectional_dispersion_z,regime_score,label
2017-02-15,0.0036108143698598797,0.012093283971435066,0.10024959244671895,-0.7243561386571699,-1.2288372381438166,-0.4979073675927793,-0.8304107142902857,0
2017-02-16,0.0034821730676981473,0.011992008861702059,0.09452841828321308,-0.7401920978411706,-1.2674205605134252,-0.5225551597044318,-0.8548332490154993,0
2017-02-17,0.0034728073812087066,0.01203512496126682,0.09335812717501744,-0.7413450294928611,-1.2753129472514175,-0.5120617950313229,-0.8556787579281203,0
2017-02-21,0.003578532503116399,0.012106722654321044,0.09793161901713134,-0.7283300903782928,-1.2444695390530345,-0.4946367331506025,-0.8364332535351772,0
2017-02-22,0.003520700442465249,0.012077007521806403,0.09529660841173287,-0.7354493136495782,-1.2622399233709847,-0.5018686424590393,-0.8467703623278924,0
2017-02-23,0.003514195713600033,0.012356197410167087,0.09347036717682024,-0.7362500566386616,-1.274556006097634,-0.4339209073627141,-0.8372760116211638,0
2017-02-24,0.003514301034062461,0.012261456537861893,0.09492424992123492,-0.7362370915138049,-1.2647510910553361,-0.4569784318740303,-0.8389395594483094,0
2017-02-27,0.0034331219346339084,0.012434052280521983,0.0905040824449779,-0.7462303742584732,-1.2945604871320981,-0.4149730072869097,-0.8444779347262479,0
2017-02-28,0.003579490481333237,0.012752562257176832,0.09323562214154847,-0.7282121616595526,-1.276139115283215,-0.3374557603466441,-0.8144389674840697,0
2017-03-01,0.004132978772192823,0.012789512781774783,0.12190054658894786,-0.6600768284844027,-1.0828242486061357,-0.3284629401847325,-0.7205782768609885,0
2017-03-02,0.004406842973934464,0.01287347522097737,0.13186367271950036,-0.6263636877756196,-1.015633406950545,-0.3080286128153674,-0.6794775885360468,0
2017-03-03,0.004350312195798228,0.012894423999384676,0.12864699918105232,-0.6333227209956016,-1.0373264980092654,-0.3029302116728006,-0.6884453522351406,0
2017-03-06,0.004415902839342315,0.01262557931886275,0.13401270388190475,-0.6252484032099295,-1.001140444535541,-0.36836018566441026,-0.6866383720985091,0
2017-03-07,0.004395227117440301,0.012321227192617305,0.13735633169417985,-0.6277936191136707,-0.9785911799828351,-0.4424317710343373,-0.6959605177585533,0
2017-03-08,0.004264123954824213,0.012138884518906953,0.1387295975508475,-0.643932637431999,-0.9693299413397318,-0.4868093513355992,-0.7101271713850389,0
2017-03-09,0.004119972228443738,0.011977712694324537,0.134598346270154,-0.6616779557465978,-0.9971909005410121,-0.5260344841153706,-0.7352031448586767,0
2017-03-10,0.004119261068092714,0.011740040029742327,0.14080582286323517,-0.6617655007737614,-0.9553279780625457,-0.5838779803375779,-0.7342567398731601,0
2017-03-13,0.004102494075657613,0.011523948947374655,0.1471758942640432,-0.6638295455508182,-0.9123685240500163,-0.6364690670263191,-0.7329191433956778,0
2017-03-14,0.004046644290059943,0.011433812779952023,0.14533774712143263,-0.6707047474517438,-0.924764899643424,-0.6584059232018505,-0.7444630282592692,0
2017-03-15,0.0042867668080656925,0.01122942463469777,0.17029973044928085,-0.6411452643743897,-0.7564224891175088,-0.7081488119293381,-0.6891291413083152,0
2017-03-16,0.004297210291404171,0.010845360822428473,0.1742318265135964,-0.6398596541301851,-0.7299046230812845,-0.8016201991969361,-0.6992252538288651,0
2017-03-17,0.004312882751268997,0.010847222716376666,0.17231851512003057,-0.6379303481408828,-0.7428079027545881,-0.8011670614507513,-0.7020409571869681,0
2017-03-20,0.004214202649099299,0.010711626974030466,0.17690571217228088,-0.6500780335574039,-0.7118720672806624,-0.8341676247420207,-0.7054341619113047,0
2017-03-21,0.004876724615216056,0.010704509705785086,0.21371138662232883,-0.5685204728236172,-0.4636563755795627,-0.8358997872504343,-0.5905371065357643,1
2017-03-22,0.0048786845281020026,0.01067440268638646,0.21467217453664952,-0.5682792042734355,-0.4571768682673184,-0.8432270718833038,-0.589938076993574,1
2017-03-23,0.004903015397740837,0.010446656810115551,0.22140664174625216,-0.5652840335775775,-0.4117599465114473,-0.8986546396974513,-0.5859009286817132,1
2017-03-24,0.004877702423532428,0.010322395092568876,0.22192836492342274,-0.5684001029864992,-0.40824147059073984,-0.9288967889244605,-0.5924518504553636,1
2017-03-27,0.004844284185941274,0.01035150827714717,0.22138986524199677,-0.5725139438572129,-0.41187308644626164,-0.9218113784708385,-0.5941811735566527,0
2017-03-28,0.004904843723544776,0.01030363458350501,0.22430266317679962,-0.5650589636169996,-0.39222931778896214,-0.9334626208305821,-0.5868908013113048,1
2017-03-29,0.004852219520155842,0.010221632581194429,0.22153516585276883,-0.5715370909598805,-0.41089318614158643,-0.9534198276015142,-0.599720466842719,0
2017-03-30,0.004824289644042452,0.010314353618615784,0.2183873806215959,-0.5749753053646893,-0.4321216977816191,-0.930853879652771,-0.6032949379473846,0
2017-03-31,0.004817943149758389,0.010174609789160185,0.2232136078902371,-0.575756569412511,-0.39957385406751156,-0.9648639820993473,-0.6007232373463784,0
2017-04-03,0.004839100067631791,0.009999544025190186,0.23035671474057312,-0.5731521174808815,-0.35140108630156963,-1.0074705472028145,-0.5934904940714745,0
