Date,volatility,label
2017-02-15,0.0035528266626308406,0
2017-02-16,0.003394569535920822,0
2017-02-17,0.0033905166247763267,0
2017-02-21,0.003473953706443941,0
2017-02-22,0.0034043730117876442,0
2017-02-23,0.003395823721425765,0
2017-02-24,0.0033961731902023514,0
2017-02-27,0.003335745294648148,0
2017-02-28,0.003450658510181948,0
2017-03-01,0.004069142845790687,0
2017-03-02,0.004315883231673595,0
2017-03-03,0.004256549768198923,0
2017-03-06,0.00432532221154654,0
2017-03-07,0.004352443950864355,0
2017-03-08,0.004271690640608211,0
2017-03-09,0.004143777356856868,0
2017-03-10,0.004134645231335486,0
2017-03-13,0.0041141023126618,0
2017-03-14,0.004068049148335431,0
2017-03-15,0.004353689431600653,0
2017-03-16,0.0043005912906835825,0
2017-03-17,0.004311888929065148,0
2017-03-20,0.004227419246279132,0
2017-03-21,0.0048208030517101,0
2017-03-22,0.0048210457127194515,0
2017-03-23,0.004840567808039002,0
2017-03-24,0.004794386598418632,0
2017-03-27,0.0047616502877907705,0
2017-03-28,0.004829486209461817,0
2017-03-29,0.004765550228165352,0
2017-03-30,0.00473556164851881,0
2017-03-31,0.004732583285774047,0
2017-04-03,0.004754039307829918,0
2017-04-04,0.004619255690427206,0
2017-04-05,0.004639435551381489,0
2017-04-06,0.004649901081505662,0
2017-04-07,0.00462650403976394,0
2017-04-10,0.004628635843882803,0
2017-04-11,0.004587951372736695,0
2017-04-12,0.003817330908461717,0
2017-04-13,0.0038748390765379784,0
2017-04-17,0.004229455106235828,0
2017-04-18,0.004226631619216944,0
2017-04-19,0.004207901224446894,0
2017-04-20,0.004464561503558628,0
2017-04-21,0.004479234549410252,0
2017-04-24,0.00488997615592675,0
2017-04-25,0.005080253687149069,0
2017-04-26,0.005027422336113405,0
2017-04-27,0.00471595469399427,0
2017-04-28,0.004719967489710653,0
2017-05-01,0.004718319526073297,0
2017-05-02,0.004684118716825845,0
2017-05-03,0.004122882071426935,0
2017-05-04,0.004123416174649975,0
2017-05-05,0.004150468303746337,0
2017-05-08,0.004146787513930902,0
2017-05-09,0.0041301880187265124,0
2017-05-10,0.004006985862762435,0
2017-05-11,0.004030481184594884,0
2017-05-12,0.0039840737749916024,0
2017-05-15,0.004075645766420033,0
2017-05-16,0.004060148521408526,0
2017-05-17,0.005024683755480602,0
2017-05-18,0.00501156184145175,0
